YearTestDraft,Year,Country Name,Indicator Name,Value
5/7/2018,2018-05-7,RU,Deposits,11.00
5/7/2018,2018-05-7,AR,Deposits,2.00
5/7/2018,2018-05-7,BG,Deposits,2.00
5/7/2018,2018-05-7,MY,Deposits,1.00
5/7/2018,2018-05-7,IN,Deposits,1.00
5/7/2018,2018-05-7,UA,Deposits,4.00
5/7/2018,2018-05-7,CH,Deposits,3.00
5/7/2018,2018-05-7,AU,ARPPU,60.67
5/7/2018,2018-05-7,SG,ARPPU,22.18
5/7/2018,2018-05-7,NZ,ARPPU,7.58
5/7/2018,2018-05-7,DE,ARPPU,40.57
5/7/2018,2018-05-7,RU,ARPPU,12.33
5/7/2018,2018-05-7,AR,ARPPU,23.11
5/7/2018,2018-05-7,BG,ARPPU,15.75
5/7/2018,2018-05-7,MY,ARPPU,9.55
5/7/2018,2018-05-7,IN,ARPPU,95.04
5/7/2018,2018-05-7,UA,ARPPU,34.08
5/7/2018,2018-05-7,CH,ARPPU,73.09
5/7/2018,2018-05-7,AU,Depositors,1.00
5/7/2018,2018-05-7,SG,Depositors,3.00
5/7/2018,2018-05-7,NZ,Depositors,1.00
5/7/2018,2018-05-7,DE,Depositors,2.00
5/7/2018,2018-05-7,RU,Depositors,4.00
5/7/2018,2018-05-7,AR,Depositors,2.00
5/7/2018,2018-05-7,BG,Depositors,1.00
5/7/2018,2018-05-7,MY,Depositors,1.00
5/7/2018,2018-05-7,IN,Depositors,1.00
5/7/2018,2018-05-7,UA,Depositors,1.00
5/7/2018,2018-05-7,CH,Depositors,3.00
5/8/2018,2018-05-8,AU,Revenue,37.89
5/8/2018,2018-05-8,MD,Revenue,3.05
5/8/2018,2018-05-8,CH,Revenue,438.53
5/8/2018,2018-05-8,EE,Revenue,6.91
5/8/2018,2018-05-8,DE,Revenue,18.20
5/8/2018,2018-05-8,OM,Revenue,123.60
5/8/2018,2018-05-8,SG,Revenue,19.01
5/8/2018,2018-05-8,MY,Revenue,9.55
5/8/2018,2018-05-8,AR,Revenue,145.25
5/8/2018,2018-05-8,UA,Revenue,7.59
5/8/2018,2018-05-8,BY,Revenue,11.69
5/8/2018,2018-05-8,RU,Revenue,26.87
5/8/2018,2018-05-8,GE,Revenue,190.08
5/8/2018,2018-05-8,US,Revenue,16.73
5/8/2018,2018-05-8,GB,Revenue,127.02
5/8/2018,2018-05-8,AU,Deposits,1.00
5/8/2018,2018-05-8,MD,Deposits,1.00
5/8/2018,2018-05-8,CH,Deposits,4.00
5/8/2018,2018-05-8,EE,Deposits,1.00
5/8/2018,2018-05-8,DE,Deposits,4.00
5/8/2018,2018-05-8,OM,Deposits,3.00
5/8/2018,2018-05-8,SG,Deposits,1.00
5/8/2018,2018-05-8,MY,Deposits,1.00
